transaction_id,date,category,amount,region,department,approved,is_anomaly,year,month,quarter,month_name,weekday,is_weekend
TXN-00001,2023-04-13,Expenses,-6996.15,West,Operations,True,False,2023,4,2,Apr,Thursday,False
TXN-00002,2024-03-11,Revenue,6348.81,South,Marketing,True,False,2024,3,1,Mar,Monday,False
TXN-00003,2023-09-28,Revenue,256974.41,North,R&D,True,True,2023,9,3,Sep,Thursday,False
TXN-00004,2023-04-17,Revenue,35304.46,East,Operations,True,False,2023,4,2,Apr,Monday,False
TXN-00005,2023-03-13,Transfer,64975.92,Central,Operations,True,True,2023,3,1,Mar,Monday,False
TXN-00006,2024-12-01,Investment,-57843.73,East,HR,True,False,2024,12,4,Dec,Sunday,True
TXN-00007,2023-01-21,Transfer,-6457.0,North,HR,True,False,2023,1,1,Jan,Saturday,True
TXN-00008,2024-09-06,Investment,-20379.05,Central,Sales,True,False,2024,9,3,Sep,Friday,False
TXN-00009,2023-05-02,Transfer,3664.96,East,HR,True,False,2023,5,2,May,Tuesday,False
TXN-00010,2024-04-11,Expenses,-7951.98,North,Operations,True,False,2024,4,2,Apr,Thursday,False
TXN-00012,2023-11-27,Revenue,46892.69,South,Sales,True,False,2023,11,4,Nov,Monday,False
TXN-00013,2024-04-03,Investment,-35731.23,North,R&D,True,False,2024,4,2,Apr,Wednesday,False
TXN-00014,2023-03-29,Revenue,34649.85,East,HR,True,False,2023,3,1,Mar,Wednesday,False
TXN-00015,2024-01-08,Expenses,-7300.96,South,Operations,True,False,2024,1,1,Jan,Monday,False
TXN-00016,2023-04-10,Revenue,34603.04,South,R&D,True,False,2023,4,2,Apr,Monday,False
TXN-00017,2024-10-25,Transfer,-9035.76,North,Operations,True,False,2024,10,4,Oct,Friday,False
TXN-00018,2023-05-11,Transfer,-1861.84,West,R&D,True,False,2023,5,2,May,Thursday,False
TXN-00019,2024-10-23,Transfer,5647.71,Central,Operations,True,False,2024,10,4,Oct,Wednesday,False
TXN-00020,2023-11-05,Expenses,-5600.24,North,HR,True,False,2023,11,4,Nov,Sunday,True
TXN-00021,2023-12-10,Transfer,-1917.19,South,HR,True,False,2023,12,4,Dec,Sunday,True
TXN-00022,2024-05-06,Revenue,35041.7,South,Sales,True,False,2024,5,2,May,Monday,False
TXN-00023,2024-02-18,Refund,-1264.8,North,R&D,True,False,2024,2,1,Feb,Sunday,True
TXN-00024,2024-01-21,Refund,-2865.64,West,Sales,True,False,2024,1,1,Jan,Sunday,True
TXN-00025,2023-07-11,Refund,-4410.98,Central,Marketing,True,False,2023,7,3,Jul,Tuesday,False
TXN-00026,2023-10-04,Expenses,-19887.71,East,HR,True,False,2023,10,4,Oct,Wednesday,False
TXN-00027,2023-06-10,Revenue,21490.77,North,R&D,True,False,2023,6,2,Jun,Saturday,True
TXN-00028,2024-04-04,Expenses,-6438.39,Central,Sales,True,False,2024,4,2,Apr,Thursday,False
TXN-00029,2023-11-10,Expenses,-11250.47,Central,Sales,False,False,2023,11,4,Nov,Friday,False
TXN-00030,2023-01-22,Revenue,21796.33,South,Marketing,True,False,2023,1,1,Jan,Sunday,True
TXN-00031,2023-09-10,Revenue,8293.82,East,Sales,True,False,2023,9,3,Sep,Sunday,True
TXN-00032,2024-07-14,Expenses,-6969.85,North,Operations,True,False,2024,7,3,Jul,Sunday,True
TXN-00033,2024-04-19,Expenses,-10961.87,South,HR,True,False,2024,4,2,Apr,Friday,False
TXN-00034,2023-02-28,Expenses,-3164.99,South,Sales,True,False,2023,2,1,Feb,Tuesday,False
TXN-00035,2024-05-25,Expenses,-10655.95,West,Sales,True,False,2024,5,2,May,Saturday,True
TXN-00036,2024-11-12,Revenue,20356.15,Central,Marketing,True,False,2024,11,4,Nov,Tuesday,False
TXN-00038,2024-11-30,Expenses,-9594.75,North,Sales,True,False,2024,11,4,Nov,Saturday,True
TXN-00039,2023-07-09,Expenses,-5084.78,North,HR,True,False,2023,7,3,Jul,Sunday,True
TXN-00040,2024-11-17,Refund,-1481.2,South,HR,True,False,2024,11,4,Nov,Sunday,True
TXN-00041,2024-07-16,Transfer,-9635.35,West,Sales,True,False,2024,7,3,Jul,Tuesday,False
TXN-00042,2024-07-20,Revenue,5340.33,East,Operations,True,False,2024,7,3,Jul,Saturday,True
TXN-00043,2023-09-01,Expenses,-2488.4,South,HR,True,False,2023,9,3,Sep,Friday,False
TXN-00044,2024-05-19,Revenue,46716.55,East,HR,True,False,2024,5,2,May,Sunday,True
TXN-00045,2023-05-11,Revenue,47049.62,West,Operations,True,False,2023,5,2,May,Thursday,False
TXN-00046,2024-04-29,Expenses,-18022.29,Central,Operations,True,False,2024,4,2,Apr,Monday,False
TXN-00047,2024-10-08,Expenses,-14992.86,North,Sales,True,False,2024,10,4,Oct,Tuesday,False
TXN-00048,2023-01-21,Revenue,18828.05,East,R&D,True,False,2023,1,1,Jan,Saturday,True
TXN-00049,2023-06-16,Refund,-2358.11,South,Marketing,True,False,2023,6,2,Jun,Friday,False
TXN-00050,2023-10-01,Revenue,32465.02,East,R&D,True,False,2023,10,4,Oct,Sunday,True
TXN-00051,2024-01-23,Investment,-74100.72,Central,R&D,True,False,2024,1,1,Jan,Tuesday,False
TXN-00052,2024-08-23,Expenses,-17623.22,North,HR,False,False,2024,8,3,Aug,Friday,False
TXN-00053,2023-11-12,Revenue,35650.3,East,Operations,False,False,2023,11,4,Nov,Sunday,True
TXN-00054,2023-01-14,Revenue,28632.35,Central,HR,True,False,2023,1,1,Jan,Saturday,True
TXN-00055,2023-08-30,Investment,-89846.69,South,Marketing,True,False,2023,8,3,Aug,Wednesday,False
TXN-00056,2023-12-12,Expenses,-14997.03,West,Sales,True,False,2023,12,4,Dec,Tuesday,False
TXN-00057,2024-07-18,Transfer,-329.09,South,Marketing,True,False,2024,7,3,Jul,Thursday,False
TXN-00058,2023-12-06,Refund,-2303.89,North,HR,True,False,2023,12,4,Dec,Wednesday,False
TXN-00059,2023-04-02,Revenue,33491.81,South,HR,True,False,2023,4,2,Apr,Sunday,True
TXN-00060,2024-01-02,Transfer,2032.24,South,HR,True,False,2024,1,1,Jan,Tuesday,False
TXN-00061,2024-03-30,Refund,-667.39,South,HR,True,False,2024,3,1,Mar,Saturday,True
TXN-00062,2024-03-03,Revenue,14542.02,South,R&D,True,False,2024,3,1,Mar,Sunday,True
TXN-00063,2024-05-23,Expenses,-11984.94,North,Sales,True,False,2024,5,2,May,Thursday,False
TXN-00064,2023-02-04,Refund,-589.89,Central,R&D,True,False,2023,2,1,Feb,Saturday,True
TXN-00065,2023-07-25,Expenses,-15381.02,East,HR,True,False,2023,7,3,Jul,Tuesday,False
